J1,J2,Score,Matchup,Date
Psylo,Sath,3-0,Falco-Sheik,14/02/18
Psylo,Skeel,3-0,Falco-Dr.Mario,14/02/18
Psylo,Skeel,3-0,Falcon-Dr.Mario,14/02/18
Sath,Skeel,2-3,Sheik-Dr.Mario,14/02/18
Sath,Skeel,3-0,Sheik-Dr.Mario,14/02/18
Psylo,Sakuya,0-3,Falco-Marth,14/02/18
Psylo,Sakuya,1-2,Falco-Marth,14/02/18
