J1,J2,Score,Matchup,Date
Adri,Gerard Palace,0-2,Luigi-Peach,23/02/18
Rach,Pickas,3-0,Falcon-Fox,23/02/18
Rach,Pickas,3-0,Falcon-Fox,23/02/18
Rach,Gerard Palace,3-0,Falcon-Peach,23/02/18
Rach,Gerard Palace,3-0,Falcon-Peach,23/02/18
