J1,J2,Score,Matchup,Date
Gerard Palace,Touakak,3-0,Peach-Sheik,21/02/12
Gerard Palace,Joon,3-1,Peach-Falco,21/02/12
Gerard Palace,Joon,2-3,Peach-Falco,21/02/12
